               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 102,              2.6317,              1.5612,               1.214,             0.67837,             0.48336,             0.53621,             0.24088,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,              2.6533,              1.5555,              1.2161,             0.68631,             0.48264,             0.53919,             0.24178,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,              2.6538,              1.5642,               1.216,             0.68203,             0.48608,             0.54036,             0.24195,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              2.6785,              1.5703,              1.2039,             0.69158,             0.48343,             0.54204,             0.24253,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,              2.6233,              1.5325,              1.2152,             0.69105,               0.486,             0.54392,             0.24391,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,              2.6433,              1.5461,               1.205,             0.69289,             0.48486,             0.54387,             0.24425,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,              2.6238,              1.5279,              1.2119,             0.69704,             0.48608,             0.54576,             0.24504,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,              2.6245,              1.5319,              1.2072,             0.69574,             0.48371,             0.54436,             0.24478,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,              2.6122,              1.5418,              1.2086,             0.69463,             0.48515,             0.54449,             0.24512,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,              2.6163,              1.5312,              1.2114,             0.69212,             0.48558,             0.54441,             0.24504,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,              2.6243,              1.5479,               1.211,             0.69666,             0.48665,             0.54621,             0.24554,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,              2.6285,              1.5416,              1.2121,             0.69737,             0.48614,              0.5464,              0.2461,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,              2.6065,              1.5248,              1.2138,             0.69467,             0.48822,             0.54797,             0.24616,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              2.6175,              1.5376,              1.2039,             0.69413,             0.48715,              0.5472,             0.24663,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,              2.5908,              1.5211,              1.2132,               0.697,             0.48694,             0.54763,             0.24695,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,              2.6046,              1.5217,              1.2012,             0.69679,             0.48887,             0.54984,             0.24749,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,              2.6065,              1.5188,              1.2145,             0.69821,             0.48944,             0.55112,             0.24802,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,              2.6073,              1.5126,              1.2053,              0.6974,             0.49016,             0.55137,             0.24837,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,              2.6165,              1.5201,              1.2093,             0.69763,             0.49324,             0.55213,              0.2482,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              2.6038,               1.523,              1.2044,             0.69709,             0.49144,             0.55199,             0.24868,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,              2.6034,              1.5231,              1.2044,             0.69829,             0.49016,              0.5516,             0.24832,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
